timestamp,case,group,http_status,wall_latency_s,ttft_s,total_generation_s,prompt_tokens,completion_tokens,tokens_per_sec,finish_reason,response_bytes,status,issues
2026-09-05T21:37:22.418893+00:00,A_none,NONE,200,0.7899,,0.7899,25,2,2.532,stop,423,PASS,
2026-09-05T21:37:24.048912+00:00,B_auto_tool_expected,AUTO,200,1.6267,,1.6267,79,15,9.221,tool_calls,791,PASS,
2026-09-05T21:37:24.528533+00:00,B_auto_optional,AUTO,200,0.4785,,0.4785,72,2,4.18,stop,651,PASS,
2026-09-05T21:37:25.926441+00:00,C_required,REQUIRED,200,1.3859,,1.3859,85,18,12.988,tool_calls,882,PASS,
2026-09-05T21:37:27.330006+00:00,D_named,NAMED,200,1.393,,1.393,90,23,16.511,tool_calls,837,PASS,
2026-09-05T21:37:31.481688+00:00,E_nested_object,NESTED_OBJECTS,200,4.1479,,4.1479,168,79,19.046,tool_calls,1230,PASS,
2026-09-05T21:37:34.800000+00:00,F_arrays,ARRAYS,200,3.3149,,3.3149,119,65,19.609,tool_calls,1032,PASS,
2026-09-05T21:37:37.742730+00:00,G_quoting,QUOTING,200,2.9398,,2.9398,112,59,20.069,tool_calls,985,PASS,
2026-09-05T21:37:39.473334+00:00,H_parallel_calls,PARALLEL_CALLS,200,1.7283,,1.7283,76,29,16.78,tool_calls,897,PASS,
2026-09-05T21:37:40.350000+00:00,I_streaming,STREAMING,200,0.8723,0.6278892999980599,0.8723,,,,tool_calls,1230,PASS,
2026-09-05T21:37:42.933103+00:00,J_tool_roundtrip,TOOL_ROUNDTRIP,200,1.4149,,1.4149,105,13,9.188,stop,887,PASS,
2026-09-05T21:37:46.196666+00:00,K_later_turn_agent,LATER_TURN_AGENT,200,1.8729,,1.8729,246,26,13.882,tool_calls,1497,PASS,
2026-09-05T21:38:15.047095+00:00,L_multiline_bounded,MULTILINE_BOUNDED,200,28.8473,,28.8473,642,582,20.175,tool_calls,3450,PASS,
2026-09-05T21:38:15.074623+00:00,failclosed_required_plus_response_format,FAILCLOSED,400,0.0239,,0.0239,,,,,239,PASS,
2026-09-05T21:38:15.098239+00:00,failclosed_auto_plus_response_format,FAILCLOSED_AUTO,400,0.0202,,0.0202,,,,,239,PASS,
2026-09-05T21:40:04.873667+00:00,GPU_LONG_GENERATION_STABILITY,GPU_LONG_GENERATION_STABILITY,200,109.4263,,109.4263,2214,2048,18.716,length,5747,FAIL,ARGUMENTS_INVALID_JSON|FINISH_length
